name,longitude,latitude,phone,address,district,city,area,zipcodetype,datatype,date,creator,source,index
宝莲佛光,102.764441,25.076442999999998,,,,,,,,,,,3,68422
华夏方神,102.764376,25.076612,,,,,,,,,,,3,68423
惊蛰侏罗纪,102.764376,25.076612,,,,,,,,,,,3,68424
绾秀苑,102.76341,25.0769,,,,,,,,,,,3,28783
红妆丽人,102.764009,25.07634,,,,,,,,,,,3,68425
风起云扬,102.76389,25.076482000000002,,,,,,,,,,,3,68426
苍古雷神,102.76384499999999,25.076477,,,,,,,,,,,3,68427
电闪弧光,102.76390699999999,25.076515,,,,,,,,,,,3,68429
鲲鹏展翅,102.764227,25.076795,,,,,,,,,,,3,68489
万卷地书,102.764166,25.076483,,,,,,,,,,,3,68510
江南春雨,102.76416400000001,25.076781,,,,,,,,,,,3,68533
南诏山水,102.764054,25.076316000000002,,,,,,,,,,,3,68605
丹凤朝阳,102.763487,25.076139,,,,,,,,,,,3,68641
滇岳山神,102.763703,25.07613,,,,,,,,,,,3,68779
香炉紫烟,102.76411999999999,25.076512,,,,,,,,,,,3,68784
石林春晓,102.763863,25.076159,,,,,,,,,,,3,68835
云光岚彩,102.764087,25.07659,,,,,,,,,,,3,68953
东方雄狮,102.76378100000001,25.076210999999997,,,,,,,,,,,3,69016
彩凤飞翼,102.764157,25.076169,,,,,,,,,,,3,68428
庄周梦蝶,102.764376,25.076612,,,,,,,,,,,3,68479
黄河神图,102.764213,25.076203,,,,,,,,,,,3,68671
和氏之玉,102.764336,25.07636,,,,,,,,,,,3,68737
百花女神,102.764376,25.076612,,,,,,,,,,,3,68838
春光烂漫,102.76404699999999,25.076071,,,,,,,,,,,3,68857
古鳄戏蟾,102.764376,25.076612,,,,,,,,,,,3,68861
苏丹园,102.765153,25.075418,,,,,,,,,,,3,68387
秘鲁园,102.765443,25.075008,,,,,,,,,,,3,68413
埃及园,102.764801,25.075377,,,,,,,,,,,3,68541
澳大利亚瓦加瓦加花园,102.765953,25.075132999999997,,,,,,,,,,,3,68775
以色列园,102.765872,25.076268,,,,,,,,,,,3,68381
海盗船,102.76711,25.07636,,,,,,,,,,,3,55671
至尊会所,102.76646,25.07633,,,,,,,,,,,3,58058
至尊KTV,102.76655,25.07635,,,,,,,,,,,3,58059
豪华碰碰车,102.76720999999999,25.076320000000003,,,,,,,,,,,3,58060
茶园,102.76748,25.076262,,,,,,,,,,,3,68414
柬埔寨园,102.76700500000001,25.075491,,,,,,,,,,,3,68656
日本园,102.766452,25.076086,,,,,,,,,,,3,68777
艺术广场,102.767663,25.075984,,,,,,,,,,,3,69123
斯里兰卡园,102.765674,25.076219000000002,,,,,,,,,,,3,68562
玉泉琼峰,102.765247,25.076928,,,,,,,,,,,3,68663
泰国园,102.765683,25.075982,,,,,,,,,,,3,68776
越南园,102.76528,25.076069,,,,,,,,,,,3,68846
印度尼西亚园,102.765618,25.075508,,,,,,,,,,,3,69005
巴基斯坦园,102.765404,25.076135,,,,,,,,,,,3,69031
老挝园,102.76519499999999,25.07575,,,,,,,,,,,3,69086
百竿高节,102.76517199999999,25.076868,,,,,,,,,,,3,69110
缅甸园,102.765909,25.076052999999998,,,,,,,,,,,3,69130
巴勒斯坦园,102.764739,25.075839000000002,,,,,,,,,,,3,69050
世博赏石馆,102.76364,25.07518,,,,,,,,,,,2,4669
甘露轩会所,102.76407,25.07452,,,,,,,,,,,3,24015
旭日东升,102.76372099999999,25.075904,,,,,,,,,,,3,68476
艺石景区,102.76372099999999,25.075904,,,,,,,,,,,3,69111
智利园,102.764507,25.074931,,,,,,,,,,,3,69131
