name,longitude,latitude,source,index
加油站,102.393231,26.294286,3,5575
汤郎加油站,102.281014,26.18872,3,5576
大松树加油站,102.532985,26.256668,3,5577
加气站,102.760397,25.04561,3,5578
泰融加油站,102.869508,24.968069,3,5579
青龙哨加油站,102.350705,24.957396,3,5580
安宁停车区－加油站,102.530496,24.892751,3,5581
建兴加油站,102.552969,24.453168,3,5582
四营加油站,103.138547,25.256965,3,5583
昌盛加油站,102.405907,25.520299,3,5584
耀远加油站,103.17128,24.811789,3,5585
加油站,102.6783,25.039737,3,5586
东川城北加油站,103.154143,26.122233,3,5587
成志加油站,102.791446,24.790408,3,5588
加油站,103.272624,24.861755,3,5589
大板桥加油站,102.883683,25.046353,3,5590
加油站,102.644162,25.066439,3,5591
加油站,102.671725,25.082991,3,5592
曙光加油站,102.741327,25.036522,3,5593
腾云加油站,102.738831,25.00379,3,5594
华天加油站,103.04789,25.333884,3,5595
城关加油站,103.257433,25.546769,3,5596
竞东加油站,102.983085,25.142996,3,5597
加油站,102.940521,24.95584,3,5598
北仓昙华加油站,102.734862,25.106522,3,5599
武定县加油站,102.399251,25.537429,3,5600
加油站,102.917998,25.071953,3,5601
永顺加油站,103.23133,25.018996,3,5602
加油站,102.670248,25.444743,3,5603
加油站,103.150683,24.933743,3,5604
澄马加油站,102.894171,24.677451,3,5605
上福加油站,102.686671,24.681032,3,5606
羊街加油站,103.132342,25.448183,3,5607
加油站,102.834336,24.979153,3,5608
汇通加油站,102.507999,25.352351,3,5609
旧寨加油站,102.591232,24.747873,3,5610
呈贡服务区－呈贡（B）加油站,102.814591,24.882428,3,5611
加油站,103.062366,25.227252,3,5612
加油站,102.754049,24.617539,3,5613
小街农机加油站,103.110485,25.314181,3,5614
加油站,102.6774,25.028438,3,5615
加油站,103.10778,25.680104,3,5616
普照加油站,102.807722,24.991015,3,5617
东菊加油站,102.742739,25.021914,3,5618
义路加油站,102.783267,24.962313,3,5619
加油站,102.503438,24.924742,3,5620
南羊加油站,103.132581,24.848236,3,5621
加油站,103.115361,25.438493,3,5622
加油站,103.372923,24.869961,3,5623
凤仪星星加油站,102.956264,25.81355,3,5624
高桥加油站,103.146074,24.947121,3,5625
天雄加油站,102.467197,25.547855,3,5626
小街服务区－小铺加油站,103.097573,25.337362,3,5628
加油站,102.777878,24.930217,3,5629
华源加油站,103.274535,24.819795,3,5630
澄西加油站,102.89573,24.677347,3,5631
加油站,102.720167,25.008361,3,5632
正星加油站,103.084009,25.875509,3,5633
中油浩邦,102.846845,25.488243,3,5634
拖布卡加油站,103.046824,26.361682,3,5635
加油站,102.848195,25.527645,3,5636
天达加油站,102.374721,24.93722,3,5637
服务区－加油站,102.845138,25.117548,3,5638
丰朔加油站,103.188578,24.974446,3,5639
澄江阳光加油站,102.933671,24.626492,3,5640
加油站,102.57575,24.787703,3,5641
加油站,102.723502,25.064196,3,5642
草坪加油站,102.757439,24.726617,3,5643
加油站,102.581927,25.625991,3,5644
仙湖加油站,102.917971,24.652798,3,5645
加油站,103.383567,25.276279,3,5646
小河加油站,103.110455,24.56678,3,5647
罗次加油站,102.291937,25.290358,3,5648
